DATE,TIME,LUX,WET_RAW_ADC,WET_VOLTAGE_V
September-24-2025,06:00 AM,0.00,18401,2.294
September-24-2025,06:01 AM,0.00,18401,2.294
September-24-2025,06:02 AM,0.00,18394,2.296
September-24-2025,06:03 AM,0.00,18391,2.296
September-24-2025,06:04 AM,0.00,18393,2.296
September-24-2025,06:05 AM,0.00,18396,2.296
September-24-2025,06:06 AM,0.00,18390,2.297
September-24-2025,06:07 AM,0.00,18391,2.296
September-24-2025,06:08 AM,0.00,18395,2.295
September-24-2025,06:09 AM,0.00,18398,2.295
September-24-2025,06:10 AM,0.00,18410,2.295
September-24-2025,06:11 AM,0.00,18399,2.296
September-24-2025,06:12 AM,0.00,18400,2.296
September-24-2025,06:13 AM,0.00,18390,2.297
September-24-2025,06:14 AM,0.00,18391,2.297
September-24-2025,06:15 AM,0.00,18408,2.295
September-24-2025,06:16 AM,0.00,18402,2.296
September-24-2025,06:17 AM,0.00,18394,2.296
September-24-2025,06:18 AM,0.00,18393,2.297
September-24-2025,06:19 AM,0.00,18396,2.296
September-24-2025,06:20 AM,0.00,18409,2.295
September-24-2025,06:21 AM,0.00,18394,2.297
September-24-2025,06:22 AM,0.00,18393,2.297
September-24-2025,06:23 AM,0.00,18399,2.296
September-24-2025,06:24 AM,0.00,18392,2.297
September-24-2025,06:25 AM,0.00,18400,2.297
September-24-2025,06:26 AM,0.00,18400,2.296
September-24-2025,06:27 AM,0.00,18408,2.296
September-24-2025,06:28 AM,0.00,18399,2.297
September-24-2025,06:29 AM,0.00,18396,2.297
September-24-2025,06:30 AM,0.00,18399,2.298
September-24-2025,06:31 AM,0.00,18400,2.298
September-24-2025,06:32 AM,0.00,18400,2.297
September-24-2025,06:33 AM,0.00,18406,2.296
September-24-2025,06:34 AM,0.00,18405,2.297
September-24-2025,06:35 AM,0.00,18412,2.297
September-24-2025,06:36 AM,0.00,18404,2.298
September-24-2025,06:37 AM,0.00,18419,2.297
September-24-2025,06:38 AM,0.00,18420,2.296
September-24-2025,06:39 AM,0.00,18413,2.296
September-24-2025,06:40 AM,0.42,18407,2.298
September-24-2025,06:41 AM,0.42,18420,2.296
September-24-2025,06:42 AM,0.42,18408,2.297
September-24-2025,06:43 AM,0.42,18414,2.297
September-24-2025,06:44 AM,0.42,18412,2.297
September-24-2025,06:45 AM,0.83,18409,2.298
September-24-2025,06:46 AM,0.83,18411,2.297
September-24-2025,06:47 AM,0.83,18424,2.296
September-24-2025,06:48 AM,1.25,18376,2.294
September-24-2025,06:49 AM,1.25,18415,2.297
September-24-2025,06:50 AM,1.25,18415,2.298
September-24-2025,06:51 AM,1.25,18417,2.296
September-24-2025,06:52 AM,1.67,18417,2.296
September-24-2025,06:53 AM,1.67,18410,2.298
September-24-2025,06:54 AM,2.08,18412,2.297
September-24-2025,06:55 AM,2.08,18420,2.296
September-24-2025,06:56 AM,2.92,18403,2.298
September-24-2025,06:57 AM,2.92,18404,2.298
September-24-2025,06:58 AM,2.92,18407,2.299
September-24-2025,06:59 AM,3.75,18417,2.296
September-24-2025,07:00 AM,4.17,18410,2.298
September-24-2025,07:01 AM,4.58,18423,2.296
September-24-2025,07:02 AM,4.58,18406,2.299
September-24-2025,07:03 AM,5.42,18411,2.299
September-24-2025,07:04 AM,5.83,18428,2.297
September-24-2025,07:05 AM,6.25,18421,2.296
September-24-2025,07:06 AM,6.67,18409,2.299
September-24-2025,07:07 AM,7.08,18376,2.294
September-24-2025,07:08 AM,7.50,18409,2.299
September-24-2025,07:09 AM,7.92,18414,2.299
September-24-2025,07:10 AM,8.33,18414,2.298
September-24-2025,07:11 AM,8.75,18421,2.299
September-24-2025,07:12 AM,9.17,18413,2.299
September-24-2025,07:13 AM,9.58,18423,2.297
September-24-2025,07:14 AM,9.58,18426,2.297
September-24-2025,07:15 AM,10.00,18428,2.297
September-24-2025,07:16 AM,10.00,18411,2.299
September-24-2025,07:17 AM,10.42,18417,2.299
September-24-2025,07:18 AM,10.42,18413,2.299
September-24-2025,07:19 AM,10.42,18426,2.297
September-24-2025,07:20 AM,10.83,18430,2.298
September-24-2025,07:21 AM,10.83,18420,2.299
September-24-2025,07:22 AM,10.83,18412,2.299
September-24-2025,07:23 AM,11.25,18432,2.297
September-24-2025,07:24 AM,11.25,18424,2.297
September-24-2025,07:25 AM,11.25,18430,2.298
September-24-2025,07:26 AM,11.25,18431,2.298
September-24-2025,07:28 AM,12.08,18418,2.299
September-24-2025,07:29 AM,12.08,18426,2.297
September-24-2025,07:30 AM,12.92,18411,2.299
September-24-2025,07:31 AM,13.33,18415,2.298
September-24-2025,07:32 AM,14.58,18423,2.298
September-24-2025,07:33 AM,15.42,18431,2.297
September-24-2025,07:34 AM,16.25,18422,2.298
September-24-2025,07:35 AM,16.67,18410,2.299
September-24-2025,07:36 AM,16.67,18428,2.297
September-24-2025,07:37 AM,17.50,18429,2.298
September-24-2025,07:38 AM,18.33,18434,2.297
September-24-2025,07:39 AM,18.33,18415,2.300
September-24-2025,07:40 AM,18.75,18429,2.298
September-24-2025,07:41 AM,19.58,18436,2.298
September-24-2025,07:42 AM,20.42,18414,2.300
September-24-2025,07:43 AM,21.25,18429,2.299
September-24-2025,07:44 AM,21.67,18417,2.300
September-24-2025,07:45 AM,22.08,18420,2.300
September-24-2025,07:46 AM,22.50,18428,2.300
September-24-2025,07:47 AM,22.92,18435,2.298
September-24-2025,07:48 AM,24.17,18436,2.298
September-24-2025,07:49 AM,24.17,18403,2.296
September-24-2025,07:50 AM,25.00,18431,2.298
September-24-2025,07:51 AM,25.42,18433,2.298
September-24-2025,07:52 AM,24.58,18423,2.300
September-24-2025,07:53 AM,24.58,18420,2.300
September-24-2025,07:54 AM,24.17,18421,2.300
September-24-2025,07:55 AM,24.58,18425,2.299
September-24-2025,07:56 AM,24.17,18424,2.298
September-24-2025,07:57 AM,24.17,18438,2.298
September-24-2025,07:58 AM,24.17,18438,2.298
September-24-2025,07:59 AM,24.58,18436,2.298
September-24-2025,08:00 AM,25.00,18437,2.298
September-24-2025,08:01 AM,25.83,18437,2.298
September-24-2025,08:02 AM,27.50,18430,2.298
September-24-2025,08:03 AM,29.17,18424,2.300
September-24-2025,08:04 AM,31.25,18424,2.299
September-24-2025,08:05 AM,32.92,18421,2.300
September-24-2025,08:06 AM,34.58,18425,2.299
September-24-2025,08:07 AM,35.83,18436,2.298
September-24-2025,08:08 AM,37.08,18417,2.295
September-24-2025,08:09 AM,37.08,18416,2.299
September-24-2025,08:10 AM,37.08,18431,2.298
September-24-2025,08:11 AM,37.50,18432,2.299
September-24-2025,08:12 AM,37.50,18434,2.299
September-24-2025,08:13 AM,38.33,18430,2.299
September-24-2025,08:14 AM,39.17,18425,2.300
September-24-2025,08:15 AM,40.00,18439,2.299
September-24-2025,08:16 AM,40.83,18435,2.299
September-24-2025,08:17 AM,41.25,18425,2.300
September-24-2025,08:18 AM,42.08,18426,2.300
September-24-2025,08:19 AM,43.33,18443,2.299
September-24-2025,08:20 AM,45.00,18426,2.301
September-24-2025,08:21 AM,46.25,18426,2.301
September-24-2025,08:22 AM,47.92,18432,2.300
September-24-2025,08:23 AM,48.75,18437,2.300
September-24-2025,08:24 AM,50.00,18441,2.300
September-24-2025,08:25 AM,50.42,18440,2.299
September-24-2025,08:26 AM,51.25,18428,2.301
September-24-2025,08:27 AM,53.33,18407,2.296
September-24-2025,08:28 AM,53.33,18427,2.299
September-24-2025,08:29 AM,53.33,18443,2.299
September-24-2025,08:30 AM,53.33,18442,2.299
September-24-2025,08:31 AM,50.83,18430,2.302
September-24-2025,08:32 AM,50.00,18433,2.301
September-24-2025,08:33 AM,49.58,18439,2.299
September-24-2025,08:34 AM,50.00,18434,2.301
September-24-2025,08:35 AM,50.83,18430,2.301
September-24-2025,08:36 AM,53.33,18427,2.301
September-24-2025,08:37 AM,54.58,18432,2.301
September-24-2025,08:38 AM,56.25,18434,2.301
September-24-2025,08:39 AM,57.08,18441,2.299
September-24-2025,08:40 AM,57.92,18432,2.302
September-24-2025,08:41 AM,58.33,18446,2.299
September-24-2025,08:42 AM,57.92,18432,2.301
September-24-2025,08:43 AM,57.08,18431,2.301
September-24-2025,08:44 AM,57.08,18442,2.301
September-24-2025,08:45 AM,57.50,18447,2.299
September-24-2025,08:46 AM,57.92,18448,2.299
September-24-2025,08:47 AM,58.33,18445,2.300
September-24-2025,08:48 AM,59.17,18449,2.300
September-24-2025,08:49 AM,61.25,18448,2.300
September-24-2025,08:50 AM,62.92,18447,2.300
September-24-2025,08:51 AM,65.00,18449,2.301
September-24-2025,08:52 AM,67.08,18440,2.300
September-24-2025,08:53 AM,69.17,18439,2.302
September-24-2025,08:54 AM,70.83,18435,2.301
September-24-2025,08:55 AM,72.92,18448,2.300
September-24-2025,08:56 AM,75.42,18449,2.300
September-24-2025,08:57 AM,78.33,18453,2.300
September-24-2025,08:58 AM,80.83,18456,2.300
September-24-2025,08:59 AM,84.17,18437,2.302
September-24-2025,09:00 AM,85.83,18449,2.300
September-24-2025,09:01 AM,88.33,18439,2.302
September-24-2025,09:02 AM,90.00,18448,2.301
September-24-2025,09:03 AM,91.67,18446,2.301
September-24-2025,09:04 AM,94.17,18455,2.300
September-24-2025,09:05 AM,97.50,18437,2.302
September-24-2025,09:06 AM,101.25,18454,2.300
September-24-2025,09:07 AM,104.58,18447,2.301
September-24-2025,09:08 AM,107.50,18403,2.299
September-24-2025,09:09 AM,110.00,18455,2.300
September-24-2025,09:10 AM,112.08,18436,2.302
September-24-2025,09:11 AM,115.42,18437,2.303
September-24-2025,09:12 AM,118.75,18440,2.303
September-24-2025,09:13 AM,122.08,18449,2.302
September-24-2025,09:14 AM,125.00,18441,2.303
September-24-2025,09:15 AM,128.75,18442,2.303
September-24-2025,09:16 AM,132.08,18459,2.301
September-24-2025,09:17 AM,135.83,18455,2.301
September-24-2025,09:18 AM,140.00,18460,2.301
September-24-2025,09:19 AM,144.17,18457,2.301
September-24-2025,09:20 AM,148.33,18443,2.303
September-24-2025,09:21 AM,151.25,18459,2.300
September-24-2025,09:22 AM,155.00,18446,2.303
September-24-2025,09:23 AM,157.50,18446,2.303
September-24-2025,09:24 AM,160.83,18443,2.303
September-24-2025,09:25 AM,163.33,18453,2.302
September-24-2025,09:26 AM,165.83,18452,2.302
September-24-2025,09:27 AM,168.75,18410,2.299
September-24-2025,09:28 AM,172.08,18443,2.303
September-24-2025,09:29 AM,175.83,18454,2.303
September-24-2025,09:30 AM,179.58,18458,2.301
September-24-2025,09:31 AM,182.92,18447,2.302
September-24-2025,09:32 AM,186.25,18459,2.301
September-24-2025,09:33 AM,189.58,18456,2.301
September-24-2025,09:34 AM,192.08,18455,2.302
September-24-2025,09:35 AM,194.58,18462,2.301
September-24-2025,09:36 AM,197.92,18450,2.302
September-24-2025,09:37 AM,200.83,18446,2.303
September-24-2025,09:38 AM,203.33,18448,2.303
September-24-2025,09:39 AM,205.83,18443,2.303
September-24-2025,09:40 AM,207.50,18444,2.303
September-24-2025,09:41 AM,209.58,18444,2.303
September-24-2025,09:42 AM,210.83,18463,2.301
September-24-2025,09:43 AM,213.33,18458,2.302
September-24-2025,09:44 AM,213.33,18450,2.303
September-24-2025,09:45 AM,213.33,18461,2.301
September-24-2025,09:46 AM,209.17,18446,2.299
September-24-2025,09:47 AM,206.67,18453,2.302
September-24-2025,09:48 AM,202.92,18457,2.302
September-24-2025,09:49 AM,198.33,18458,2.301
September-24-2025,09:50 AM,192.08,18449,2.304
September-24-2025,09:51 AM,185.00,18464,2.301
September-24-2025,09:52 AM,177.08,18452,2.302
September-24-2025,09:53 AM,170.42,18445,2.304
September-24-2025,09:54 AM,164.58,18456,2.301
September-24-2025,09:55 AM,160.42,18451,2.303
September-24-2025,09:56 AM,155.42,18457,2.303
September-24-2025,09:57 AM,152.92,18457,2.301
September-24-2025,09:58 AM,154.17,18458,2.303
September-24-2025,09:59 AM,154.58,18452,2.303
September-24-2025,10:00 AM,154.17,18444,2.304
September-24-2025,10:01 AM,152.50,18454,2.303
September-24-2025,10:02 AM,150.00,18462,2.302
September-24-2025,10:03 AM,145.83,18448,2.304
September-24-2025,10:04 AM,140.83,18448,2.303
September-24-2025,10:05 AM,136.67,18454,2.303
September-24-2025,10:06 AM,136.25,18454,2.303
September-24-2025,10:07 AM,137.92,18447,2.304
September-24-2025,10:08 AM,139.17,18457,2.301
September-24-2025,10:09 AM,136.67,18455,2.302
September-24-2025,10:10 AM,133.33,18448,2.303
September-24-2025,10:11 AM,130.00,18450,2.304
September-24-2025,10:12 AM,126.67,18458,2.302
September-24-2025,10:13 AM,125.00,18464,2.302
September-24-2025,10:14 AM,125.00,18449,2.304
September-24-2025,10:15 AM,127.08,18448,2.304
September-24-2025,10:16 AM,136.67,18461,2.303
September-24-2025,10:17 AM,160.00,18459,2.303
September-24-2025,10:18 AM,176.25,18473,2.303
September-24-2025,10:19 AM,170.83,18473,2.303
September-24-2025,10:20 AM,160.00,18470,2.303
September-24-2025,10:21 AM,183.75,18456,2.305
September-24-2025,10:22 AM,183.33,18457,2.305
September-24-2025,10:23 AM,175.42,18473,2.303
September-24-2025,10:24 AM,181.67,18465,2.304
September-24-2025,10:25 AM,182.92,18471,2.303
September-24-2025,10:26 AM,181.25,18472,2.304
September-24-2025,10:27 AM,179.17,18427,2.300
September-24-2025,10:28 AM,177.50,18477,2.304
September-24-2025,10:29 AM,176.25,18472,2.305
September-24-2025,10:30 AM,175.83,18470,2.304
September-24-2025,10:31 AM,174.58,18475,2.304
September-24-2025,10:32 AM,174.58,18480,2.303
September-24-2025,10:33 AM,174.17,18465,2.306
September-24-2025,10:34 AM,174.17,18476,2.304
