DATE,TIME,LUX,WET_RAW_ADC,WET_VOLTAGE_V
September-23-2025,06:00 AM,0.42,18055,2.253
September-23-2025,06:01 AM,0.00,18048,2.254
September-23-2025,06:02 AM,0.42,18058,2.252
September-23-2025,06:03 AM,0.42,18048,2.254
September-23-2025,06:04 AM,0.42,18056,2.253
September-23-2025,06:05 AM,0.42,18048,2.254
September-23-2025,06:06 AM,0.42,18067,2.252
September-23-2025,06:07 AM,0.42,18062,2.252
September-23-2025,06:08 AM,0.83,18050,2.254
September-23-2025,06:09 AM,0.00,18061,2.254
September-23-2025,06:10 AM,0.42,18068,2.252
September-23-2025,06:11 AM,0.42,18064,2.252
September-23-2025,06:12 AM,0.42,18071,2.252
September-23-2025,06:13 AM,0.83,18070,2.252
September-23-2025,06:14 AM,0.83,18066,2.252
September-23-2025,06:15 AM,0.42,18068,2.252
September-23-2025,06:16 AM,0.42,18061,2.253
September-23-2025,06:17 AM,0.42,18068,2.253
September-23-2025,06:18 AM,0.42,18070,2.252
September-23-2025,06:19 AM,0.42,18051,2.254
September-23-2025,06:20 AM,0.42,18052,2.254
September-23-2025,06:21 AM,0.42,18054,2.254
September-23-2025,06:22 AM,0.42,18050,2.254
September-23-2025,06:23 AM,0.83,18063,2.253
September-23-2025,06:24 AM,0.42,18066,2.252
September-23-2025,06:25 AM,0.00,18053,2.253
September-23-2025,06:26 AM,0.42,18053,2.254
September-23-2025,06:27 AM,0.42,18055,2.254
September-23-2025,06:28 AM,0.42,18060,2.253
September-23-2025,06:29 AM,0.42,18062,2.252
September-23-2025,06:30 AM,0.42,18062,2.253
September-23-2025,06:31 AM,0.42,18061,2.252
September-23-2025,06:32 AM,0.42,18049,2.255
September-23-2025,06:33 AM,0.42,18064,2.252
September-23-2025,06:34 AM,0.42,18066,2.252
September-23-2025,06:35 AM,0.42,18067,2.252
September-23-2025,06:36 AM,0.42,18060,2.253
September-23-2025,06:37 AM,0.42,18053,2.254
September-23-2025,06:38 AM,0.42,18055,2.253
September-23-2025,06:39 AM,0.42,18037,2.248
September-23-2025,06:40 AM,0.42,18054,2.253
September-23-2025,06:41 AM,0.42,18061,2.253
September-23-2025,06:42 AM,0.42,18054,2.253
September-23-2025,06:43 AM,0.83,18053,2.253
September-23-2025,06:44 AM,0.42,18058,2.254
September-23-2025,06:45 AM,0.42,18052,2.254
September-23-2025,06:46 AM,0.42,18063,2.252
September-23-2025,06:47 AM,0.42,18069,2.253
September-23-2025,06:48 AM,0.42,18065,2.252
September-23-2025,06:49 AM,0.83,18057,2.254
September-23-2025,06:50 AM,0.42,18052,2.255
September-23-2025,06:51 AM,0.42,18063,2.254
September-23-2025,06:52 AM,0.42,18058,2.255
September-23-2025,06:53 AM,0.83,18073,2.252
September-23-2025,06:54 AM,0.83,18055,2.255
September-23-2025,06:55 AM,0.83,18060,2.254
September-23-2025,06:56 AM,0.83,18061,2.254
September-23-2025,06:57 AM,0.83,18071,2.253
September-23-2025,06:58 AM,0.83,18030,2.249
September-23-2025,06:59 AM,0.83,18072,2.253
September-23-2025,07:00 AM,0.83,18070,2.253
September-23-2025,07:01 AM,0.83,18074,2.253
September-23-2025,07:02 AM,0.83,18075,2.253
September-23-2025,07:03 AM,0.83,18063,2.254
September-23-2025,07:04 AM,0.83,18067,2.255
September-23-2025,07:05 AM,1.25,18075,2.254
September-23-2025,07:06 AM,1.25,18059,2.254
September-23-2025,07:07 AM,1.25,18060,2.255
September-23-2025,07:08 AM,1.25,18056,2.255
September-23-2025,07:09 AM,1.25,18073,2.253
September-23-2025,07:10 AM,1.25,18073,2.254
September-23-2025,07:11 AM,1.25,18058,2.255
September-23-2025,07:12 AM,1.67,18077,2.253
September-23-2025,07:13 AM,1.25,18064,2.255
September-23-2025,07:14 AM,1.25,18060,2.256
September-23-2025,07:15 AM,1.67,18061,2.256
September-23-2025,07:16 AM,1.25,18071,2.255
September-23-2025,07:17 AM,1.25,18079,2.251
September-23-2025,07:18 AM,1.67,18064,2.255
September-23-2025,07:19 AM,1.67,18068,2.256
September-23-2025,07:20 AM,1.67,18062,2.256
September-23-2025,07:21 AM,1.67,18069,2.256
September-23-2025,07:22 AM,1.67,18080,2.253
September-23-2025,07:23 AM,2.08,18069,2.255
September-23-2025,07:24 AM,2.08,18067,2.256
