DATE,TIME,LUX,WET_RAW_ADC,WET_VOLTAGE_V
September-27-2025,06:00 AM,0.00,19460,2.429
September-27-2025,06:01 AM,0.00,19458,2.429
September-27-2025,06:02 AM,0.00,19463,2.428
September-27-2025,06:03 AM,0.00,19466,2.429
September-27-2025,06:04 AM,0.00,19467,2.428
September-27-2025,06:05 AM,0.00,19474,2.428
September-27-2025,06:06 AM,0.00,19457,2.429
September-27-2025,06:07 AM,0.00,19462,2.430
September-27-2025,06:08 AM,0.00,19474,2.429
September-27-2025,06:09 AM,0.00,19474,2.429
September-27-2025,06:10 AM,0.00,19471,2.429
September-27-2025,06:11 AM,0.00,19468,2.429
September-27-2025,06:12 AM,0.00,19475,2.429
September-27-2025,06:13 AM,0.00,19462,2.429
September-27-2025,06:14 AM,0.00,19468,2.429
September-27-2025,06:15 AM,0.00,19475,2.428
September-27-2025,06:16 AM,0.00,19476,2.428
September-27-2025,06:17 AM,0.00,19463,2.430
September-27-2025,06:18 AM,0.00,19464,2.430
September-27-2025,06:19 AM,0.00,19476,2.429
September-27-2025,06:20 AM,0.00,19472,2.430
September-27-2025,06:21 AM,0.00,19468,2.429
September-27-2025,06:22 AM,0.00,19474,2.430
September-27-2025,06:23 AM,0.00,19436,2.423
September-27-2025,06:24 AM,0.00,19465,2.430
September-27-2025,06:25 AM,0.00,19472,2.428
September-27-2025,06:26 AM,0.00,19478,2.428
September-27-2025,06:27 AM,0.00,19471,2.429
September-27-2025,06:28 AM,0.00,19463,2.429
September-27-2025,06:29 AM,0.00,19480,2.428
September-27-2025,06:30 AM,0.00,19461,2.430
September-27-2025,06:31 AM,0.00,19470,2.429
September-27-2025,06:32 AM,0.00,19475,2.428
September-27-2025,06:33 AM,0.00,19475,2.428
September-27-2025,06:34 AM,0.00,19478,2.428
September-27-2025,06:35 AM,0.00,19480,2.429
September-27-2025,06:36 AM,0.00,19466,2.430
September-27-2025,06:37 AM,0.00,19480,2.429
September-27-2025,06:38 AM,0.42,19472,2.430
September-27-2025,06:39 AM,0.42,19474,2.429
September-27-2025,06:40 AM,0.42,19466,2.430
September-27-2025,06:41 AM,0.42,19466,2.430
September-27-2025,06:42 AM,0.83,19450,2.424
September-27-2025,06:43 AM,1.25,19475,2.429
September-27-2025,06:44 AM,1.67,19477,2.429
September-27-2025,06:45 AM,2.08,19476,2.429
September-27-2025,06:46 AM,2.08,19478,2.430
September-27-2025,06:47 AM,2.92,19484,2.429
September-27-2025,06:48 AM,3.33,19477,2.429
September-27-2025,06:49 AM,3.75,19467,2.430
September-27-2025,06:50 AM,4.58,19467,2.430
September-27-2025,06:51 AM,5.42,19471,2.430
September-27-2025,06:52 AM,6.25,19473,2.429
September-27-2025,06:53 AM,6.67,19467,2.430
September-27-2025,06:54 AM,7.50,19486,2.429
September-27-2025,06:55 AM,8.33,19473,2.430
September-27-2025,06:56 AM,9.58,19472,2.429
September-27-2025,06:57 AM,10.42,19485,2.429
September-27-2025,06:58 AM,11.25,19482,2.429
September-27-2025,06:59 AM,12.08,19472,2.432
September-27-2025,07:00 AM,13.33,19469,2.431
September-27-2025,07:01 AM,14.58,19475,2.431
September-27-2025,07:02 AM,15.83,19486,2.429
September-27-2025,07:03 AM,16.67,19477,2.430
September-27-2025,07:04 AM,17.92,19471,2.430
September-27-2025,07:05 AM,19.17,19472,2.431
September-27-2025,07:06 AM,20.83,19481,2.430
September-27-2025,07:07 AM,21.67,19477,2.431
September-27-2025,07:08 AM,22.92,19476,2.432
September-27-2025,07:09 AM,24.17,19480,2.431
September-27-2025,07:10 AM,25.42,19480,2.430
September-27-2025,07:11 AM,27.08,19484,2.430
September-27-2025,07:12 AM,27.92,19477,2.431
September-27-2025,07:13 AM,29.17,19477,2.431
September-27-2025,07:14 AM,30.42,19482,2.430
September-27-2025,07:15 AM,32.08,19491,2.430
September-27-2025,07:16 AM,33.33,19479,2.431
September-27-2025,07:17 AM,34.58,19479,2.430
September-27-2025,07:18 AM,35.83,19490,2.430
September-27-2025,07:19 AM,37.08,19478,2.431
September-27-2025,07:20 AM,38.75,19489,2.430
September-27-2025,07:21 AM,39.58,19494,2.430
September-27-2025,07:22 AM,41.25,19482,2.430
September-27-2025,07:23 AM,42.50,19457,2.425
September-27-2025,07:24 AM,43.75,19494,2.430
September-27-2025,07:25 AM,45.00,19486,2.430
September-27-2025,07:26 AM,46.67,19477,2.432
