DATE,TIME,LUX,WET_RAW_ADC,WET_VOLTAGE_V
September-28-2025,06:00 AM,0.00,19705,2.460
September-28-2025,06:01 AM,0.00,19708,2.458
September-28-2025,06:02 AM,0.00,19716,2.458
September-28-2025,06:03 AM,0.00,19717,2.458
September-28-2025,06:04 AM,0.00,19707,2.458
September-28-2025,06:05 AM,0.00,19711,2.459
September-28-2025,06:06 AM,0.00,19713,2.458
September-28-2025,06:07 AM,0.00,19702,2.460
September-28-2025,06:08 AM,0.00,19701,2.460
September-28-2025,06:09 AM,0.00,19709,2.459
September-28-2025,06:10 AM,0.00,19706,2.460
September-28-2025,06:11 AM,0.00,19710,2.460
September-28-2025,06:12 AM,0.00,19720,2.458
September-28-2025,06:13 AM,0.00,19706,2.459
September-28-2025,06:14 AM,0.00,19720,2.458
September-28-2025,06:15 AM,0.00,19702,2.459
September-28-2025,06:16 AM,0.00,19676,2.455
September-28-2025,06:17 AM,0.00,19721,2.458
September-28-2025,06:18 AM,0.00,19707,2.459
September-28-2025,06:19 AM,0.00,19714,2.459
September-28-2025,06:20 AM,0.00,19703,2.460
September-28-2025,06:21 AM,0.00,19716,2.459
September-28-2025,06:22 AM,0.00,19712,2.459
September-28-2025,06:23 AM,0.00,19706,2.460
September-28-2025,06:24 AM,0.00,19718,2.459
September-28-2025,06:25 AM,0.00,19713,2.460
September-28-2025,06:26 AM,0.00,19710,2.459
September-28-2025,06:27 AM,0.00,19708,2.460
September-28-2025,06:28 AM,0.00,19708,2.459
September-28-2025,06:29 AM,0.00,19718,2.458
September-28-2025,06:30 AM,0.00,19722,2.459
September-28-2025,06:31 AM,0.00,19707,2.460
September-28-2025,06:32 AM,0.00,19709,2.460
September-28-2025,06:33 AM,0.00,19714,2.460
September-28-2025,06:34 AM,0.00,19709,2.460
September-28-2025,06:35 AM,0.00,19703,2.460
September-28-2025,06:36 AM,0.00,19709,2.459
September-28-2025,06:37 AM,0.00,19711,2.460
September-28-2025,06:38 AM,0.00,19714,2.459
September-28-2025,06:39 AM,0.42,19709,2.461
September-28-2025,06:40 AM,0.42,19718,2.460
September-28-2025,06:41 AM,0.83,19715,2.459
September-28-2025,06:42 AM,0.83,19721,2.458
September-28-2025,06:43 AM,1.25,19723,2.459
September-28-2025,06:44 AM,1.67,19708,2.460
September-28-2025,06:45 AM,1.67,19719,2.459
September-28-2025,06:46 AM,2.08,19704,2.460
September-28-2025,06:47 AM,2.50,19719,2.459
September-28-2025,06:48 AM,3.33,19724,2.459
September-28-2025,06:49 AM,3.75,19709,2.461
September-28-2025,06:50 AM,4.58,19718,2.459
September-28-2025,06:51 AM,5.00,19709,2.461
September-28-2025,06:52 AM,5.83,19724,2.459
September-28-2025,06:53 AM,6.25,19723,2.459
September-28-2025,06:54 AM,7.50,19710,2.460
September-28-2025,06:55 AM,7.92,19706,2.461
September-28-2025,06:56 AM,8.75,19712,2.460
September-28-2025,06:57 AM,9.58,19681,2.455
September-28-2025,06:58 AM,10.83,19721,2.459
September-28-2025,06:59 AM,12.08,19716,2.460
September-28-2025,07:00 AM,13.33,19713,2.461
September-28-2025,07:01 AM,14.58,19709,2.461
September-28-2025,07:02 AM,15.83,19722,2.459
September-28-2025,07:03 AM,17.08,19724,2.458
September-28-2025,07:04 AM,18.75,19710,2.461
September-28-2025,07:05 AM,20.00,19723,2.460
September-28-2025,07:06 AM,21.25,19714,2.461
September-28-2025,07:07 AM,22.50,19709,2.461
September-28-2025,07:08 AM,24.17,19710,2.461
September-28-2025,07:09 AM,25.00,19711,2.461
September-28-2025,07:10 AM,27.08,19711,2.461
September-28-2025,07:11 AM,29.17,19710,2.461
September-28-2025,07:12 AM,31.25,19727,2.459
September-28-2025,07:13 AM,32.50,19728,2.459
September-28-2025,07:14 AM,33.75,19716,2.460
September-28-2025,07:15 AM,35.00,19721,2.460
September-28-2025,07:16 AM,36.25,19680,2.454
September-28-2025,07:17 AM,36.25,19710,2.461
September-28-2025,07:18 AM,39.17,19728,2.459
September-28-2025,07:19 AM,40.83,19721,2.459
September-28-2025,07:20 AM,42.92,19724,2.459
September-28-2025,07:21 AM,45.42,19723,2.460
September-28-2025,07:22 AM,46.67,19728,2.460
September-28-2025,07:23 AM,46.25,19728,2.459
September-28-2025,07:24 AM,47.08,19724,2.459
September-28-2025,07:25 AM,50.00,19718,2.460
September-28-2025,07:26 AM,50.83,19723,2.460
September-28-2025,07:27 AM,53.33,19712,2.461
September-28-2025,07:28 AM,57.50,19710,2.461
September-28-2025,07:29 AM,61.25,19720,2.461
September-28-2025,07:30 AM,63.75,19723,2.459
September-28-2025,07:31 AM,66.25,19711,2.462
September-28-2025,07:32 AM,68.33,19727,2.459
September-28-2025,07:33 AM,70.00,19726,2.459
September-28-2025,07:34 AM,71.67,19727,2.460
September-28-2025,07:35 AM,73.33,19723,2.460
September-28-2025,07:36 AM,75.00,19715,2.461
September-28-2025,07:37 AM,77.08,19733,2.460
September-28-2025,07:38 AM,78.75,19716,2.462
September-28-2025,07:39 AM,80.42,19731,2.460
