DATE,TIME,LUX,WET_RAW_ADC,WET_VOLTAGE_V
September-18-2025,06:00 AM,0.00,15199,1.898
September-18-2025,06:01 AM,0.00,15215,1.896
September-18-2025,06:02 AM,0.00,15210,1.898
September-18-2025,06:03 AM,0.00,15198,1.899
September-18-2025,06:04 AM,0.00,15199,1.899
September-18-2025,06:05 AM,0.00,15216,1.897
September-18-2025,06:06 AM,0.00,15201,1.898
September-18-2025,06:07 AM,0.00,15211,1.897
September-18-2025,06:08 AM,0.00,15215,1.896
September-18-2025,06:09 AM,0.00,15197,1.899
September-18-2025,06:10 AM,0.00,15216,1.897
September-18-2025,06:11 AM,0.00,15202,1.898
September-18-2025,06:12 AM,0.00,15205,1.898
September-18-2025,06:13 AM,0.00,15197,1.899
September-18-2025,06:14 AM,0.00,15198,1.899
September-18-2025,06:15 AM,0.00,15183,1.895
September-18-2025,06:16 AM,0.00,15209,1.897
September-18-2025,06:17 AM,0.00,15209,1.896
September-18-2025,06:18 AM,0.00,15198,1.899
September-18-2025,06:19 AM,0.00,15210,1.897
September-18-2025,06:20 AM,0.00,15208,1.897
September-18-2025,06:21 AM,0.83,15210,1.897
September-18-2025,06:22 AM,0.42,15218,1.896
September-18-2025,06:23 AM,0.83,15215,1.897
September-18-2025,06:24 AM,0.83,15204,1.899
September-18-2025,06:25 AM,0.83,15198,1.899
September-18-2025,06:26 AM,0.83,15214,1.896
September-18-2025,06:27 AM,0.83,15214,1.897
September-18-2025,06:28 AM,1.25,15213,1.896
September-18-2025,06:29 AM,1.25,15204,1.898
September-18-2025,06:30 AM,1.25,15214,1.897
September-18-2025,06:31 AM,1.25,15217,1.897
September-18-2025,06:32 AM,1.67,15199,1.898
September-18-2025,06:33 AM,2.08,15212,1.897
September-18-2025,06:34 AM,2.50,15208,1.897
September-18-2025,06:35 AM,2.50,15198,1.899
September-18-2025,06:36 AM,2.92,15200,1.898
September-18-2025,06:37 AM,4.17,15201,1.898
September-18-2025,06:38 AM,4.58,15216,1.897
September-18-2025,06:39 AM,5.00,15215,1.897
September-18-2025,06:40 AM,6.25,15206,1.897
September-18-2025,06:41 AM,7.08,15207,1.898
September-18-2025,06:42 AM,7.92,15216,1.897
September-18-2025,06:43 AM,9.17,15199,1.899
September-18-2025,06:44 AM,10.00,15202,1.899
September-18-2025,06:45 AM,11.67,15213,1.898
September-18-2025,06:46 AM,12.92,15217,1.897
September-18-2025,06:47 AM,14.17,15210,1.897
September-18-2025,06:48 AM,16.25,15210,1.898
September-18-2025,06:49 AM,17.92,15211,1.898
September-18-2025,06:50 AM,19.58,15207,1.899
September-18-2025,06:51 AM,21.25,15206,1.898
September-18-2025,06:52 AM,23.33,15210,1.898
September-18-2025,06:53 AM,25.42,15218,1.898
September-18-2025,06:54 AM,27.50,15208,1.899
September-18-2025,06:55 AM,29.58,15212,1.897
September-18-2025,06:56 AM,31.25,15182,1.897
September-18-2025,06:57 AM,33.75,15205,1.899
September-18-2025,06:58 AM,35.42,15212,1.899
September-18-2025,06:59 AM,37.50,15204,1.899
September-18-2025,07:00 AM,39.58,15204,1.899
September-18-2025,07:01 AM,42.08,15213,1.898
September-18-2025,07:02 AM,44.17,15213,1.898
September-18-2025,07:03 AM,46.25,15212,1.899
September-18-2025,07:04 AM,48.33,15208,1.898
September-18-2025,07:05 AM,49.58,15215,1.897
September-18-2025,07:06 AM,53.33,15215,1.898
September-18-2025,07:07 AM,55.00,15211,1.897
September-18-2025,07:08 AM,57.08,15203,1.899
September-18-2025,07:09 AM,59.17,15202,1.899
September-18-2025,07:10 AM,61.25,15202,1.899
September-18-2025,07:11 AM,63.75,15205,1.900
September-18-2025,07:12 AM,65.83,15225,1.897
September-18-2025,07:13 AM,67.92,15212,1.899
September-18-2025,07:14 AM,70.42,15216,1.898
September-18-2025,07:15 AM,72.50,15182,1.895
September-18-2025,07:16 AM,74.58,15210,1.898
September-18-2025,07:17 AM,77.08,15215,1.899
September-18-2025,07:18 AM,79.17,15223,1.897
September-18-2025,07:19 AM,81.67,15212,1.900
September-18-2025,07:20 AM,83.33,15221,1.898
September-18-2025,07:21 AM,86.25,15225,1.898
September-18-2025,07:22 AM,88.33,15221,1.898
September-18-2025,07:23 AM,90.00,15205,1.899
September-18-2025,07:24 AM,92.92,15205,1.900
September-18-2025,07:25 AM,95.00,15224,1.898
September-18-2025,07:26 AM,97.08,15209,1.900
September-18-2025,07:27 AM,99.17,15213,1.899
September-18-2025,07:28 AM,101.67,15212,1.899
September-18-2025,07:29 AM,103.75,15211,1.900
September-18-2025,07:30 AM,106.67,15224,1.898
September-18-2025,07:31 AM,107.92,15203,1.899
September-18-2025,07:32 AM,110.42,15223,1.898
September-18-2025,07:33 AM,112.50,15223,1.898
September-18-2025,07:34 AM,114.58,15223,1.897
September-18-2025,07:35 AM,116.67,15222,1.897
September-18-2025,07:36 AM,118.75,15219,1.899
September-18-2025,07:37 AM,120.83,15222,1.898
September-18-2025,07:38 AM,122.92,15227,1.898
September-18-2025,07:39 AM,125.00,15223,1.898
September-18-2025,07:40 AM,127.08,15219,1.898
September-18-2025,07:41 AM,129.17,15225,1.898
September-18-2025,07:42 AM,131.25,15228,1.898
September-18-2025,07:43 AM,133.33,15220,1.898
September-18-2025,07:44 AM,135.42,15212,1.900
September-18-2025,07:45 AM,137.92,15211,1.900
September-18-2025,07:46 AM,140.42,15225,1.898
September-18-2025,07:47 AM,142.50,15225,1.899
September-18-2025,07:48 AM,145.42,15211,1.900
September-18-2025,07:49 AM,148.33,15226,1.898
September-18-2025,07:50 AM,151.67,15217,1.898
September-18-2025,07:51 AM,155.83,15208,1.900
September-18-2025,07:52 AM,164.58,15226,1.898
September-18-2025,07:53 AM,173.75,15228,1.899
September-18-2025,07:54 AM,182.50,15211,1.901
September-18-2025,07:55 AM,190.83,15226,1.899
September-18-2025,07:56 AM,197.50,15227,1.899
September-18-2025,07:57 AM,204.17,15231,1.898
September-18-2025,07:58 AM,213.33,15223,1.900
September-18-2025,07:59 AM,222.50,15222,1.901
September-18-2025,08:00 AM,230.42,15233,1.900
September-18-2025,08:01 AM,230.83,15221,1.900
September-18-2025,08:02 AM,222.92,15226,1.900
September-18-2025,08:03 AM,213.33,15218,1.901
September-18-2025,08:04 AM,207.50,15223,1.900
September-18-2025,08:05 AM,201.25,15233,1.899
September-18-2025,08:06 AM,191.67,15219,1.901
September-18-2025,08:07 AM,187.08,15219,1.901
September-18-2025,08:08 AM,183.75,15233,1.900
September-18-2025,08:09 AM,181.67,15226,1.900
September-18-2025,08:10 AM,180.83,15238,1.899
September-18-2025,08:11 AM,181.25,15234,1.899
September-18-2025,08:12 AM,181.25,15225,1.901
September-18-2025,08:13 AM,181.67,15229,1.901
September-18-2025,08:14 AM,182.92,15241,1.900
September-18-2025,08:15 AM,183.75,15203,1.898
September-18-2025,08:16 AM,185.00,15229,1.901
September-18-2025,08:17 AM,186.25,15232,1.900
September-18-2025,08:18 AM,187.08,15238,1.900
September-18-2025,08:19 AM,188.75,15225,1.902
September-18-2025,08:20 AM,189.58,15243,1.900
September-18-2025,08:21 AM,191.67,15225,1.902
September-18-2025,08:22 AM,192.50,15231,1.901
September-18-2025,08:23 AM,193.75,15239,1.899
September-18-2025,08:24 AM,195.00,15225,1.902
September-18-2025,08:25 AM,195.42,15235,1.900
September-18-2025,08:26 AM,196.25,15234,1.901
September-18-2025,08:27 AM,197.08,15234,1.900
September-18-2025,08:28 AM,197.92,15239,1.899
September-18-2025,08:29 AM,198.75,15240,1.900
September-18-2025,08:30 AM,199.58,15228,1.902
September-18-2025,08:31 AM,200.42,15238,1.900
September-18-2025,08:32 AM,201.25,15226,1.902
September-18-2025,08:33 AM,202.08,15223,1.902
September-18-2025,08:34 AM,204.17,15204,1.897
September-18-2025,08:35 AM,203.75,15226,1.902
September-18-2025,08:36 AM,204.17,15227,1.902
September-18-2025,08:37 AM,204.17,15244,1.900
September-18-2025,08:38 AM,204.17,15230,1.902
September-18-2025,08:39 AM,204.17,15233,1.901
September-18-2025,08:40 AM,204.58,15246,1.901
September-18-2025,08:41 AM,204.58,15248,1.900
September-18-2025,08:42 AM,204.58,15236,1.902
September-18-2025,08:43 AM,205.00,15246,1.900
September-18-2025,08:44 AM,205.42,15231,1.902
September-18-2025,08:45 AM,205.83,15235,1.903
September-18-2025,08:46 AM,206.25,15229,1.903
September-18-2025,08:47 AM,206.25,15248,1.902
September-18-2025,08:48 AM,205.83,15236,1.903
September-18-2025,08:49 AM,205.83,15243,1.901
September-18-2025,08:50 AM,206.25,15239,1.902
September-18-2025,08:51 AM,206.25,15243,1.901
September-18-2025,08:52 AM,207.08,15246,1.902
September-18-2025,08:53 AM,207.50,15249,1.901
September-18-2025,08:54 AM,207.08,15252,1.901
September-18-2025,08:55 AM,207.08,15235,1.903
September-18-2025,08:56 AM,207.08,15236,1.903
September-18-2025,08:57 AM,207.92,15249,1.901
September-18-2025,08:58 AM,208.33,15236,1.903
September-18-2025,08:59 AM,207.92,15244,1.902
September-18-2025,09:00 AM,208.75,15236,1.903
September-18-2025,09:01 AM,208.75,15253,1.902
September-18-2025,09:02 AM,208.33,15254,1.901
September-18-2025,09:03 AM,208.33,15249,1.903
September-18-2025,09:04 AM,207.92,15256,1.902
September-18-2025,09:05 AM,207.50,15245,1.902
