DATE,TIME,LUX,WET_RAW_ADC,WET_VOLTAGE_V
September-19-2025,06:00 AM,0.00,16088,2.009
September-19-2025,06:01 AM,0.00,16097,2.006
September-19-2025,06:02 AM,0.00,16092,2.007
September-19-2025,06:03 AM,0.00,16082,2.009
September-19-2025,06:04 AM,0.00,16084,2.009
September-19-2025,06:05 AM,0.00,16086,2.009
September-19-2025,06:06 AM,0.00,16102,2.007
September-19-2025,06:07 AM,0.00,16096,2.008
September-19-2025,06:08 AM,0.00,16072,2.003
September-19-2025,06:09 AM,0.00,16096,2.009
September-19-2025,06:10 AM,0.00,16095,2.008
September-19-2025,06:11 AM,0.00,16096,2.009
September-19-2025,06:12 AM,0.00,16098,2.009
September-19-2025,06:13 AM,0.00,16101,2.008
September-19-2025,06:14 AM,0.00,16095,2.008
September-19-2025,06:15 AM,0.00,16104,2.008
September-19-2025,06:16 AM,0.00,16090,2.010
September-19-2025,06:17 AM,0.00,16087,2.009
September-19-2025,06:18 AM,0.00,16104,2.007
September-19-2025,06:19 AM,0.00,16097,2.009
September-19-2025,06:20 AM,0.00,16101,2.008
September-19-2025,06:21 AM,0.00,16091,2.009
September-19-2025,06:22 AM,0.00,16095,2.010
September-19-2025,06:23 AM,0.00,16103,2.007
September-19-2025,06:24 AM,0.00,16093,2.009
September-19-2025,06:25 AM,0.00,16111,2.008
September-19-2025,06:26 AM,0.00,16102,2.009
September-19-2025,06:27 AM,0.42,16079,2.004
September-19-2025,06:28 AM,0.42,16104,2.010
September-19-2025,06:29 AM,0.42,16112,2.008
September-19-2025,06:30 AM,0.83,16108,2.009
September-19-2025,06:31 AM,0.83,16100,2.010
September-19-2025,06:32 AM,0.83,16115,2.009
September-19-2025,06:33 AM,1.25,16100,2.011
September-19-2025,06:34 AM,2.08,16098,2.011
September-19-2025,06:35 AM,2.50,16097,2.011
September-19-2025,06:36 AM,2.92,16116,2.008
September-19-2025,06:37 AM,3.75,16104,2.011
September-19-2025,06:38 AM,4.17,16100,2.011
September-19-2025,06:39 AM,5.00,16098,2.011
September-19-2025,06:40 AM,5.83,16113,2.009
September-19-2025,06:41 AM,7.08,16104,2.011
September-19-2025,06:42 AM,7.92,16114,2.010
September-19-2025,06:43 AM,9.58,16100,2.011
September-19-2025,06:44 AM,10.00,16116,2.009
September-19-2025,06:45 AM,11.67,16117,2.010
September-19-2025,06:46 AM,12.92,16102,2.010
September-19-2025,06:47 AM,14.58,16107,2.011
September-19-2025,06:48 AM,16.25,16120,2.009
September-19-2025,06:49 AM,17.92,16108,2.010
September-19-2025,06:50 AM,19.58,16108,2.012
September-19-2025,06:51 AM,20.83,16101,2.011
September-19-2025,06:52 AM,22.92,16113,2.010
September-19-2025,06:53 AM,25.00,16106,2.011
September-19-2025,06:54 AM,26.25,16118,2.009
September-19-2025,06:55 AM,28.33,16101,2.011
September-19-2025,06:56 AM,30.42,16101,2.011
