DATE,TIME,LUX,WET_RAW_ADC,WET_VOLTAGE_V
September-22-2025,06:00 AM,0.42,17699,2.208
September-22-2025,06:01 AM,0.42,17705,2.208
September-22-2025,06:02 AM,0.42,17711,2.208
September-22-2025,06:03 AM,0.42,17702,2.208
September-22-2025,06:04 AM,0.00,17713,2.208
September-22-2025,06:05 AM,0.42,17664,2.205
September-22-2025,06:06 AM,0.42,17699,2.210
September-22-2025,06:07 AM,0.42,17698,2.209
September-22-2025,06:08 AM,0.42,17693,2.210
September-22-2025,06:09 AM,0.00,17702,2.209
September-22-2025,06:10 AM,0.00,17711,2.208
September-22-2025,06:11 AM,0.00,17710,2.208
September-22-2025,06:12 AM,0.42,17708,2.209
September-22-2025,06:13 AM,0.42,17714,2.208
September-22-2025,06:14 AM,0.42,17700,2.210
September-22-2025,06:15 AM,0.42,17701,2.210
September-22-2025,06:16 AM,0.42,17693,2.210
September-22-2025,06:17 AM,0.42,17714,2.208
September-22-2025,06:18 AM,0.00,17704,2.209
September-22-2025,06:19 AM,0.42,17695,2.210
September-22-2025,06:20 AM,0.42,17714,2.208
September-22-2025,06:21 AM,0.42,17715,2.208
September-22-2025,06:22 AM,0.00,17701,2.210
September-22-2025,06:23 AM,0.42,17698,2.209
September-22-2025,06:24 AM,0.42,17696,2.208
September-22-2025,06:25 AM,0.42,17712,2.208
September-22-2025,06:26 AM,0.42,17716,2.208
September-22-2025,06:27 AM,0.42,17716,2.208
September-22-2025,06:28 AM,0.42,17697,2.210
September-22-2025,06:29 AM,0.42,17712,2.208
September-22-2025,06:30 AM,0.42,17715,2.209
September-22-2025,06:31 AM,0.42,17703,2.209
September-22-2025,06:32 AM,0.42,17718,2.209
September-22-2025,06:33 AM,0.83,17716,2.209
September-22-2025,06:34 AM,0.42,17700,2.210
September-22-2025,06:35 AM,0.83,17715,2.209
September-22-2025,06:36 AM,0.42,17699,2.211
September-22-2025,06:37 AM,0.83,17709,2.209
September-22-2025,06:38 AM,1.25,17711,2.209
September-22-2025,06:39 AM,1.25,17713,2.209
September-22-2025,06:40 AM,1.67,17710,2.209
September-22-2025,06:41 AM,1.67,17706,2.211
September-22-2025,06:42 AM,2.08,17709,2.210
September-22-2025,06:43 AM,2.08,17708,2.211
September-22-2025,06:44 AM,2.08,17706,2.211
September-22-2025,06:45 AM,2.92,17717,2.209
September-22-2025,06:46 AM,3.33,17709,2.209
September-22-2025,06:47 AM,3.33,17720,2.209
September-22-2025,06:48 AM,3.75,17708,2.210
September-22-2025,06:49 AM,4.58,17712,2.209
September-22-2025,06:50 AM,4.58,17705,2.210
September-22-2025,06:51 AM,5.42,17720,2.209
September-22-2025,06:52 AM,5.83,17705,2.211
September-22-2025,06:53 AM,6.67,17705,2.210
September-22-2025,06:54 AM,7.08,17704,2.211
September-22-2025,06:55 AM,7.92,17706,2.210
September-22-2025,06:56 AM,8.33,17704,2.210
September-22-2025,06:57 AM,9.17,17703,2.211
September-22-2025,06:58 AM,10.00,17722,2.210
September-22-2025,06:59 AM,10.42,17720,2.209
September-22-2025,07:00 AM,11.25,17717,2.211
September-22-2025,07:01 AM,12.08,17714,2.210
September-22-2025,07:02 AM,13.33,17709,2.211
September-22-2025,07:03 AM,14.17,17720,2.209
September-22-2025,07:04 AM,15.00,17722,2.209
September-22-2025,07:05 AM,15.83,17680,2.206
September-22-2025,07:06 AM,16.67,17722,2.209
September-22-2025,07:07 AM,17.08,17719,2.210
September-22-2025,07:08 AM,18.33,17722,2.210
September-22-2025,07:09 AM,19.17,17719,2.210
September-22-2025,07:10 AM,20.00,17724,2.209
September-22-2025,07:11 AM,21.25,17725,2.209
September-22-2025,07:12 AM,21.67,17724,2.209
September-22-2025,07:13 AM,22.92,17723,2.210
September-22-2025,07:14 AM,22.92,17707,2.211
September-22-2025,07:15 AM,22.92,17725,2.209
September-22-2025,07:16 AM,24.58,17705,2.211
September-22-2025,07:17 AM,27.08,17707,2.212
September-22-2025,07:18 AM,27.50,17712,2.211
September-22-2025,07:19 AM,28.75,17708,2.212
September-22-2025,07:20 AM,29.17,17709,2.212
September-22-2025,07:21 AM,29.58,17724,2.210
September-22-2025,07:22 AM,27.92,17717,2.211
September-22-2025,07:23 AM,26.67,17728,2.210
September-22-2025,07:24 AM,26.67,17677,2.207
September-22-2025,07:25 AM,27.92,17707,2.211
September-22-2025,07:26 AM,28.33,17716,2.211
September-22-2025,07:27 AM,29.17,17711,2.212
September-22-2025,07:28 AM,30.00,17718,2.212
September-22-2025,07:29 AM,29.17,17728,2.211
September-22-2025,07:30 AM,30.00,17725,2.210
September-22-2025,07:31 AM,30.83,17727,2.210
September-22-2025,07:32 AM,31.25,17711,2.212
September-22-2025,07:33 AM,32.08,17730,2.211
September-22-2025,07:34 AM,32.08,17723,2.210
September-22-2025,07:35 AM,33.75,17716,2.212
September-22-2025,07:36 AM,34.58,17721,2.211
September-22-2025,07:37 AM,35.00,17733,2.210
September-22-2025,07:38 AM,35.42,17733,2.210
