DATE,TIME,LUX,WET_RAW_ADC,WET_VOLTAGE_V
September-25-2025,06:00 AM,0.42,18874,2.353
September-25-2025,06:01 AM,0.00,18829,2.349
September-25-2025,06:02 AM,0.00,18860,2.355
September-25-2025,06:03 AM,0.42,18861,2.353
September-25-2025,06:04 AM,0.42,18875,2.353
September-25-2025,06:05 AM,0.42,18872,2.352
September-25-2025,06:06 AM,0.00,18856,2.355
September-25-2025,06:07 AM,0.42,18866,2.353
September-25-2025,06:08 AM,0.42,18872,2.353
September-25-2025,06:09 AM,0.00,18870,2.353
September-25-2025,06:10 AM,0.42,18863,2.354
September-25-2025,06:11 AM,0.42,18872,2.353
September-25-2025,06:12 AM,0.42,18857,2.354
September-25-2025,06:13 AM,0.42,18873,2.353
September-25-2025,06:14 AM,0.42,18858,2.355
September-25-2025,06:15 AM,0.42,18867,2.353
September-25-2025,06:16 AM,0.00,18862,2.355
September-25-2025,06:17 AM,0.42,18871,2.353
September-25-2025,06:18 AM,0.42,18865,2.354
September-25-2025,06:19 AM,0.42,18865,2.354
September-25-2025,06:20 AM,0.42,18835,2.350
September-25-2025,06:21 AM,0.42,18874,2.354
September-25-2025,06:22 AM,0.42,18878,2.353
September-25-2025,06:23 AM,0.42,18879,2.353
September-25-2025,06:24 AM,0.42,18876,2.354
September-25-2025,06:25 AM,0.42,18877,2.354
September-25-2025,06:26 AM,0.42,18863,2.355
September-25-2025,06:27 AM,0.83,18881,2.354
September-25-2025,06:28 AM,0.42,18878,2.353
September-25-2025,06:29 AM,0.42,18879,2.353
September-25-2025,06:30 AM,0.83,18862,2.355
September-25-2025,06:31 AM,0.42,18877,2.354
September-25-2025,06:32 AM,0.42,18867,2.354
September-25-2025,06:33 AM,0.83,18873,2.354
September-25-2025,06:34 AM,0.83,18870,2.355
September-25-2025,06:35 AM,0.83,18869,2.355
September-25-2025,06:36 AM,1.25,18877,2.354
September-25-2025,06:37 AM,0.83,18865,2.355
September-25-2025,06:38 AM,1.25,18878,2.355
September-25-2025,06:39 AM,1.67,18847,2.350
September-25-2025,06:40 AM,2.08,18864,2.356
September-25-2025,06:41 AM,2.50,18865,2.356
September-25-2025,06:42 AM,2.92,18870,2.354
September-25-2025,06:43 AM,2.92,18864,2.356
September-25-2025,06:44 AM,3.75,18871,2.354
September-25-2025,06:45 AM,4.17,18881,2.353
September-25-2025,06:46 AM,5.00,18864,2.356
September-25-2025,06:47 AM,5.42,18866,2.356
September-25-2025,06:48 AM,6.25,18871,2.355
September-25-2025,06:49 AM,7.08,18868,2.355
September-25-2025,06:50 AM,7.92,18880,2.354
September-25-2025,06:51 AM,8.75,18879,2.353
September-25-2025,06:52 AM,10.00,18877,2.354
September-25-2025,06:53 AM,10.83,18877,2.355
September-25-2025,06:54 AM,12.08,18872,2.356
September-25-2025,06:55 AM,12.92,18884,2.354
September-25-2025,06:56 AM,14.17,18885,2.354
September-25-2025,06:57 AM,15.42,18869,2.356
