DATE,TIME,LUX,WET_RAW_ADC,WET_VOLTAGE_V
September-20-2025,06:00 AM,0.00,16587,2.071
September-20-2025,06:01 AM,0.00,16596,2.069
September-20-2025,06:02 AM,0.00,16588,2.069
September-20-2025,06:03 AM,0.00,16581,2.071
September-20-2025,06:04 AM,0.00,16585,2.070
September-20-2025,06:05 AM,0.00,16588,2.069
September-20-2025,06:06 AM,0.00,16585,2.070
September-20-2025,06:07 AM,0.00,16581,2.071
September-20-2025,06:08 AM,0.00,16595,2.069
September-20-2025,06:09 AM,0.00,16589,2.070
September-20-2025,06:10 AM,0.00,16582,2.070
September-20-2025,06:11 AM,0.00,16586,2.069
September-20-2025,06:12 AM,0.00,16578,2.071
September-20-2025,06:13 AM,0.00,16594,2.068
September-20-2025,06:14 AM,0.00,16585,2.071
September-20-2025,06:15 AM,0.00,16595,2.070
September-20-2025,06:16 AM,0.00,16590,2.069
September-20-2025,06:17 AM,0.00,16583,2.070
September-20-2025,06:18 AM,0.00,16550,2.066
September-20-2025,06:19 AM,0.00,16583,2.071
September-20-2025,06:20 AM,0.00,16580,2.071
September-20-2025,06:21 AM,0.00,16599,2.069
September-20-2025,06:22 AM,0.00,16582,2.071
September-20-2025,06:23 AM,0.00,16596,2.069
September-20-2025,06:24 AM,0.00,16585,2.071
September-20-2025,06:25 AM,0.00,16583,2.071
September-20-2025,06:26 AM,0.00,16602,2.070
September-20-2025,06:27 AM,0.00,16584,2.071
September-20-2025,06:28 AM,0.00,16601,2.069
September-20-2025,06:29 AM,0.00,16580,2.071
September-20-2025,06:30 AM,0.00,16587,2.071
September-20-2025,06:31 AM,0.42,16599,2.069
September-20-2025,06:32 AM,0.42,16602,2.069
September-20-2025,06:33 AM,0.42,16592,2.071
September-20-2025,06:34 AM,0.83,16593,2.070
September-20-2025,06:35 AM,0.83,16583,2.071
September-20-2025,06:36 AM,1.25,16598,2.070
September-20-2025,06:37 AM,1.25,16582,2.070
September-20-2025,06:38 AM,1.67,16590,2.071
September-20-2025,06:39 AM,2.92,16593,2.070
September-20-2025,06:40 AM,3.33,16589,2.070
September-20-2025,06:41 AM,4.17,16588,2.071
September-20-2025,06:42 AM,4.17,16585,2.071
September-20-2025,06:43 AM,5.00,16601,2.069
September-20-2025,06:44 AM,5.83,16584,2.072
September-20-2025,06:45 AM,6.25,16581,2.071
September-20-2025,06:46 AM,6.67,16591,2.071
September-20-2025,06:47 AM,7.50,16594,2.070
September-20-2025,06:48 AM,7.92,16587,2.071
September-20-2025,06:49 AM,8.75,16600,2.069
September-20-2025,06:50 AM,9.17,16595,2.070
September-20-2025,06:51 AM,10.42,16583,2.071
September-20-2025,06:52 AM,10.83,16600,2.069
September-20-2025,06:53 AM,12.08,16588,2.071
September-20-2025,06:54 AM,12.50,16601,2.069
September-20-2025,06:55 AM,14.17,16609,2.070
September-20-2025,06:56 AM,15.42,16604,2.071
September-20-2025,06:57 AM,17.50,16604,2.071
September-20-2025,06:58 AM,18.75,16612,2.071
September-20-2025,06:59 AM,20.83,16589,2.072
September-20-2025,07:00 AM,22.08,16596,2.073
September-20-2025,07:01 AM,24.17,16597,2.072
September-20-2025,07:02 AM,25.83,16612,2.070
September-20-2025,07:03 AM,27.08,16600,2.071
September-20-2025,07:04 AM,27.50,16607,2.070
September-20-2025,07:05 AM,27.92,16614,2.071
September-20-2025,07:06 AM,27.92,16598,2.072
September-20-2025,07:07 AM,28.75,16612,2.070
September-20-2025,07:08 AM,30.42,16612,2.071
September-20-2025,07:09 AM,32.08,16614,2.071
September-20-2025,07:10 AM,32.92,16612,2.071
September-20-2025,07:11 AM,34.17,16594,2.073
September-20-2025,07:12 AM,35.42,16595,2.073
September-20-2025,07:13 AM,36.67,16596,2.073
September-20-2025,07:14 AM,38.33,16609,2.070
September-20-2025,07:15 AM,40.42,16615,2.071
September-20-2025,07:16 AM,41.67,16612,2.071
September-20-2025,07:17 AM,43.75,16614,2.071
September-20-2025,07:18 AM,45.83,16589,2.068
September-20-2025,07:19 AM,47.50,16602,2.073
September-20-2025,07:20 AM,50.00,16598,2.072
September-20-2025,07:21 AM,53.33,16600,2.073
September-20-2025,07:22 AM,54.58,16607,2.073
September-20-2025,07:23 AM,56.25,16612,2.071
September-20-2025,07:24 AM,58.75,16597,2.073
September-20-2025,07:25 AM,60.83,16616,2.072
September-20-2025,07:26 AM,63.33,16619,2.071
September-20-2025,07:27 AM,69.17,16604,2.073
September-20-2025,07:28 AM,82.92,16601,2.074
September-20-2025,07:29 AM,89.58,16615,2.072
September-20-2025,07:30 AM,91.25,16607,2.073
September-20-2025,07:31 AM,93.33,16609,2.073
September-20-2025,07:32 AM,95.00,16621,2.072
September-20-2025,07:33 AM,97.08,16608,2.073
September-20-2025,07:34 AM,99.17,16600,2.074
September-20-2025,07:35 AM,100.83,16625,2.072
September-20-2025,07:36 AM,86.25,16608,2.074
September-20-2025,07:37 AM,82.08,16588,2.067
September-20-2025,07:38 AM,90.00,16622,2.072
September-20-2025,07:39 AM,86.25,16617,2.073
September-20-2025,07:40 AM,102.50,16614,2.073
September-20-2025,07:41 AM,99.58,16620,2.073
September-20-2025,07:42 AM,102.50,16624,2.072
September-20-2025,07:43 AM,110.00,16619,2.072
September-20-2025,07:44 AM,116.25,16622,2.072
September-20-2025,07:45 AM,121.25,16614,2.074
September-20-2025,07:46 AM,132.50,16615,2.073
September-20-2025,07:47 AM,137.08,16610,2.074
September-20-2025,07:48 AM,143.33,16622,2.073
September-20-2025,07:49 AM,149.17,16622,2.072
