DATE,TIME,LUX,WET_RAW_ADC,WET_VOLTAGE_V
September-17-2025,06:00 AM,0.83,14408,1.797
September-17-2025,06:01 AM,0.42,14395,1.799
September-17-2025,06:02 AM,0.42,14410,1.798
September-17-2025,06:03 AM,0.83,14412,1.797
September-17-2025,06:04 AM,0.83,14416,1.797
September-17-2025,06:05 AM,0.83,14372,1.795
September-17-2025,06:06 AM,0.83,14400,1.799
September-17-2025,06:07 AM,0.42,14411,1.797
September-17-2025,06:08 AM,0.42,14401,1.798
September-17-2025,06:09 AM,0.42,14416,1.797
September-17-2025,06:10 AM,0.42,14409,1.797
September-17-2025,06:11 AM,0.83,14396,1.799
September-17-2025,06:12 AM,0.42,14400,1.798
September-17-2025,06:13 AM,0.42,14415,1.796
September-17-2025,06:14 AM,0.83,14411,1.797
September-17-2025,06:15 AM,0.42,14403,1.799
September-17-2025,06:16 AM,0.83,14401,1.798
September-17-2025,06:17 AM,0.83,14416,1.797
September-17-2025,06:18 AM,0.83,14408,1.797
September-17-2025,06:19 AM,0.42,14407,1.797
September-17-2025,06:20 AM,0.42,14402,1.799
September-17-2025,06:21 AM,0.42,14403,1.799
September-17-2025,06:22 AM,0.83,14419,1.797
September-17-2025,06:23 AM,0.83,14397,1.799
September-17-2025,06:24 AM,0.83,14412,1.794
September-17-2025,06:25 AM,0.83,14402,1.798
September-17-2025,06:26 AM,1.25,14401,1.799
September-17-2025,06:27 AM,0.83,14417,1.797
September-17-2025,06:28 AM,1.25,14401,1.799
September-17-2025,06:29 AM,1.67,14415,1.797
September-17-2025,06:30 AM,2.08,14416,1.797
September-17-2025,06:31 AM,2.08,14399,1.799
September-17-2025,06:32 AM,2.92,14399,1.799
September-17-2025,06:33 AM,2.92,14400,1.799
September-17-2025,06:34 AM,3.33,14402,1.799
September-17-2025,06:35 AM,4.17,14404,1.798
September-17-2025,06:36 AM,4.58,14421,1.797
September-17-2025,06:37 AM,5.42,14411,1.799
September-17-2025,06:38 AM,6.25,14401,1.800
September-17-2025,06:39 AM,7.50,14409,1.798
September-17-2025,06:40 AM,8.33,14410,1.800
September-17-2025,06:41 AM,10.00,14404,1.800
September-17-2025,06:42 AM,10.83,14404,1.800
September-17-2025,06:43 AM,12.50,14416,1.798
September-17-2025,06:44 AM,13.75,14423,1.798
September-17-2025,06:45 AM,15.42,14404,1.800
September-17-2025,06:46 AM,17.08,14401,1.800
September-17-2025,06:47 AM,18.75,14423,1.798
September-17-2025,06:48 AM,20.83,14407,1.800
September-17-2025,06:49 AM,23.33,14422,1.798
September-17-2025,06:50 AM,25.00,14410,1.800
September-17-2025,06:51 AM,27.08,14420,1.797
September-17-2025,06:52 AM,29.58,14415,1.798
September-17-2025,06:53 AM,31.25,14425,1.798
September-17-2025,06:56 AM,37.92,14407,1.800
September-17-2025,06:57 AM,40.00,14409,1.800
September-17-2025,06:58 AM,42.08,14406,1.800
September-17-2025,06:59 AM,44.58,14407,1.800
September-17-2025,07:00 AM,46.67,14426,1.798
September-17-2025,07:01 AM,49.17,14423,1.798
September-17-2025,07:02 AM,53.33,14405,1.799
September-17-2025,07:03 AM,55.00,14406,1.799
September-17-2025,07:04 AM,57.08,14408,1.800
September-17-2025,07:05 AM,60.00,14401,1.794
September-17-2025,07:06 AM,62.50,14424,1.798
September-17-2025,07:07 AM,65.42,14428,1.798
September-17-2025,07:08 AM,67.50,14409,1.801
