LUX,DATE,TIME
0.00,2025-09-15,06:00
0.00,2025-09-15,06:15
4.58,2025-09-15,06:30
35.83,2025-09-15,06:45
97.92,2025-09-15,07:00
171.25,2025-09-15,07:15
235.83,2025-09-15,07:30
295.00,2025-09-15,07:45
352.08,2025-09-15,08:00
360.42,2025-09-15,08:15
379.17,2025-09-15,08:30
384.58,2025-09-15,08:45
388.75,2025-09-15,09:00
390.83,2025-09-15,09:15
390.00,2025-09-15,09:30
174.58,2025-09-15,09:45
171.67,2025-09-15,10:00
167.92,2025-09-15,10:15
164.17,2025-09-15,10:30
723.33,2025-09-15,10:45
705.83,2025-09-15,11:00
689.17,2025-09-15,11:15
665.42,2025-09-15,11:30
649.17,2025-09-15,11:45
650.00,2025-09-15,12:00
653.75,2025-09-15,12:15
662.92,2025-09-15,12:30
