LUX,DATE,TIME
1.25,2025-09-14,06:00
1.67,2025-09-14,06:15
4.58,2025-09-14,06:30
27.50,2025-09-14,06:45
70.00,2025-09-14,07:00
117.08,2025-09-14,07:15
151.67,2025-09-14,07:30
242.92,2025-09-14,07:45
336.67,2025-09-14,08:00
600.83,2025-09-14,08:15
486.25,2025-09-14,08:30
438.75,2025-09-14,08:45
740.83,2025-09-14,09:00
600.00,2025-09-14,09:15
642.08,2025-09-14,09:30
767.92,2025-09-14,09:45
667.08,2025-09-14,10:00
910.00,2025-09-14,10:15
784.17,2025-09-14,10:30
885.42,2025-09-14,10:45
849.58,2025-09-14,11:00
1227.92,2025-09-14,11:15
1140.83,2025-09-14,11:30
714.17,2025-09-14,11:45
879.17,2025-09-14,12:00
878.33,2025-09-14,12:15
775.42,2025-09-14,12:30
1540.42,2025-09-14,12:45
1452.08,2025-09-14,13:00
1101.25,2025-09-14,13:15
1295.83,2025-09-14,13:30
1445.00,2025-09-14,13:45
656.67,2025-09-14,14:00
1560.00,2025-09-14,14:15
1481.25,2025-09-14,14:30
995.83,2025-09-14,14:45
27306.25,2025-09-14,15:00
2285.00,2025-09-14,15:15
3385.00,2025-09-14,15:30
3882.08,2025-09-14,15:45
4175.00,2025-09-14,16:00
4236.25,2025-09-14,16:15
4457.92,2025-09-14,16:30
4911.25,2025-09-14,16:45
5037.92,2025-09-14,17:00
3300.83,2025-09-14,17:15
438.75,2025-09-14,17:30
407.50,2025-09-14,17:45
373.33,2025-09-14,18:00
330.42,2025-09-14,18:15
270.42,2025-09-14,18:30
163.33,2025-09-14,18:45
78.33,2025-09-14,19:00
20.00,2025-09-14,19:15
3.33,2025-09-14,19:30
2.08,2025-09-14,19:45
1.67,2025-09-14,20:00
2.92,2025-09-14,20:15
2.92,2025-09-14,20:30
3.75,2025-09-14,20:45
2.92,2025-09-14,21:00
5.00,2025-09-14,21:15
3.75,2025-09-14,21:30
3.75,2025-09-14,21:45
